acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.17,0.85,0.39,-1.15,-6.29,1.53
0.16,0.85,0.41,0.03,-0.79,0.73
0.17,0.85,0.39,-1.62,-6.73,1.47
0.15,0.86,0.41,-0.64,-2.60,1.69
0.16,0.86,0.40,-1.85,-2.29,1.83
0.16,0.86,0.41,-2.27,-3.33,1.86
0.16,0.85,0.40,-1.80,-0.75,1.56
0.16,0.85,0.40,-2.73,-4.56,1.76
0.16,0.85,0.41,-1.77,-2.73,1.80
0.17,0.84,0.40,-2.50,-3.13,2.27
0.17,0.86,0.41,-2.56,-2.35,2.17
0.17,0.86,0.40,-2.12,-0.26,2.27
0.18,0.86,0.41,-2.84,-1.24,3.04
0.17,0.86,0.40,-2.50,-0.67,3.05
0.17,0.84,0.41,-2.55,-1.76,2.72
0.16,0.85,0.40,-2.72,-2.12,2.66
0.16,0.84,0.40,-2.84,-1.77,2.55
0.17,0.85,0.40,-3.51,-1.48,2.53
0.16,0.86,0.40,-3.65,-0.82,2.31
0.17,0.85,0.41,-3.97,-0.55,2.44
0.18,0.85,0.41,-3.53,-0.08,2.35
0.18,0.85,0.41,-3.57,0.29,2.12
0.18,0.84,0.41,-2.92,0.06,1.13
0.17,0.84,0.41,-2.40,0.18,0.12
0.18,0.85,0.40,-1.95,-0.05,-0.21
0.18,0.85,0.41,-1.74,0.49,-0.24
0.17,0.84,0.42,-1.60,0.85,-1.27
0.17,0.85,0.40,-1.33,0.44,-1.16
0.17,0.85,0.41,-1.02,0.75,-0.96
0.16,0.85,0.40,-1.05,0.27,-0.93
0.17,0.85,0.40,-0.98,0.87,-0.72
0.16,0.86,0.40,-1.04,1.08,-0.85
0.17,0.86,0.40,-1.50,1.01,-0.58
0.17,0.85,0.41,-1.47,1.33,0.17
0.16,0.85,0.40,-1.45,1.22,0.18
0.16,0.85,0.40,-1.19,1.40,0.14
0.16,0.85,0.41,-1.47,1.34,0.38
0.17,0.85,0.41,-1.53,1.51,0.82
0.16,0.85,0.41,-1.73,1.86,0.81
0.16,0.85,0.41,-1.91,1.62,1.28
0.16,0.86,0.41,-2.34,1.16,1.19
0.17,0.86,0.41,-2.46,0.89,1.18
0.17,0.86,0.41,-2.75,0.35,1.65
0.17,0.86,0.41,-3.08,-0.05,2.12
0.17,0.85,0.41,-3.18,-0.05,2.53
0.17,0.86,0.41,-3.50,0.38,2.21
0.17,0.85,0.40,-3.69,0.72,2.85
0.17,0.85,0.41,-3.97,0.84,2.95
0.17,0.85,0.41,-4.27,0.52,3.11
0.17,0.86,0.42,-4.60,0.18,3.24
0.16,0.85,0.42,-4.95,-0.90,2.06
0.16,0.87,0.41,-5.92,-1.24,5.28
0.16,0.87,0.41,-7.25,-1.02,7.28
0.18,0.85,0.40,-7.74,-0.09,8.63
0.18,0.86,0.40,-9.01,0.78,9.33
0.19,0.85,0.40,-9.15,2.08,9.18
0.18,0.85,0.41,-9.11,1.33,9.37
0.17,0.86,0.43,-9.27,-0.43,9.30
0.16,0.84,0.43,-9.04,-2.23,10.47
0.16,0.83,0.43,-8.66,-2.18,10.87
0.17,0.83,0.41,-8.85,-1.76,10.79
0.18,0.83,0.42,-8.89,-0.17,10.92
0.19,0.84,0.43,-9.30,0.02,12.40
0.19,0.84,0.43,-9.02,0.14,13.36
0.19,0.87,0.43,-10.20,-1.24,15.77
0.19,0.85,0.42,-10.55,-1.60,16.53
0.20,0.81,0.43,-9.28,-0.82,15.19
0.21,0.83,0.41,-9.15,0.17,16.46
0.21,0.82,0.43,-9.36,0.40,15.25
0.19,0.81,0.45,-7.51,0.87,12.61
0.20,0.82,0.40,-6.89,0.69,10.84
0.18,0.85,0.44,-9.42,-2.96,16.32
0.21,0.84,0.46,-8.09,1.86,16.60
0.21,0.87,0.46,-11.83,-0.09,20.20
0.21,0.80,0.44,-10.61,3.05,17.48
0.21,0.78,0.43,-8.78,2.82,14.02
0.21,0.80,0.42,-7.53,2.11,11.73
0.21,0.79,0.45,-5.25,0.34,8.85
0.23,0.81,0.46,-3.30,0.38,7.91
0.25,0.83,0.43,-3.56,0.26,8.53
0.23,0.80,0.45,-3.33,0.15,6.87
0.21,0.82,0.44,-2.69,-0.14,5.69
0.21,0.83,0.45,-3.07,-0.95,5.95
0.22,0.81,0.44,-2.96,-0.79,6.02
0.20,0.81,0.45,-2.72,-0.82,5.47
0.20,0.81,0.44,-2.32,-0.29,3.34
0.21,0.86,0.42,-5.08,-1.31,6.92
0.20,0.81,0.46,-5.69,-2.56,6.20
0.20,0.80,0.45,-4.02,-3.10,3.24
0.19,0.79,0.42,-3.39,-5.10,-0.12
0.17,0.79,0.43,-2.40,-6.24,-5.62
0.15,0.79,0.43,-2.12,-8.96,-11.10
0.10,0.81,0.44,-3.24,-14.27,-17.44
0.09,0.81,0.45,-6.12,-23.07,-25.04
0.13,0.85,0.48,-12.34,-29.91,-41.77
0.17,0.92,0.48,-19.74,-29.60,-57.25
0.12,0.89,0.42,-29.37,-31.53,-72.34
0.11,0.82,0.41,-28.96,-30.69,-77.97
0.21,0.88,0.41,-28.09,-37.13,-78.43
0.22,0.87,0.48,-24.90,-43.48,-61.01
0.30,0.86,0.42,-24.69,-37.28,-55.40
0.36,0.90,0.41,-25.37,-34.75,-38.40
0.24,0.81,0.46,-17.25,-34.31,-28.53
0.21,0.79,0.46,-11.44,-44.43,-20.63
0.25,0.79,0.50,-4.40,-39.44,-13.66
0.26,0.80,0.48,-4.63,-30.56,-12.27
0.24,0.82,0.46,-7.94,-20.72,-5.89
0.24,0.82,0.47,-8.69,-17.02,-0.50
0.23,0.77,0.46,-4.95,-17.02,5.82
0.23,0.80,0.49,-3.01,-18.70,6.50
0.24,0.82,0.50,-2.40,-12.58,5.60
0.26,0.81,0.45,-3.34,-6.38,5.19
0.22,0.80,0.43,-2.96,-1.66,5.53
0.21,0.81,0.48,-4.55,-2.02,9.11
0.23,0.83,0.48,-4.47,3.73,9.92
0.24,0.79,0.47,-4.64,4.89,11.37
0.23,0.78,0.47,-2.40,5.88,11.97
0.19,0.80,0.46,-1.27,6.49,11.89
0.18,0.80,0.49,-1.16,5.83,11.80
0.21,0.79,0.47,-0.06,7.66,12.11
0.23,0.80,0.46,-0.15,10.18,14.03
0.22,0.82,0.46,-0.29,13.54,14.15
0.22,0.81,0.48,0.23,13.39,13.95
0.23,0.81,0.48,1.47,11.85,13.63
0.22,0.81,0.48,3.15,12.53,13.08
0.21,0.80,0.46,3.56,13.79,11.51
0.21,0.80,0.46,3.10,16.40,10.73
0.23,0.78,0.46,4.11,21.71,11.51
0.23,0.74,0.44,7.79,27.44,10.98
0.25,0.68,0.40,15.71,34.98,11.05
0.24,0.65,0.41,26.82,38.24,12.38
0.25,0.65,0.38,39.59,40.89,15.24
0.19,0.71,0.43,47.77,33.66,6.67
0.18,0.82,0.42,52.24,33.88,-0.84
0.16,0.90,0.43,46.55,28.20,-8.81
0.14,0.98,0.47,38.96,25.77,-12.60
0.11,0.99,0.50,28.18,16.72,-10.70
0.11,0.97,0.49,20.09,12.67,-7.88
0.13,0.93,0.47,12.87,9.56,-4.96
0.14,0.89,0.44,8.31,8.52,-2.05
0.16,0.87,0.41,5.24,9.04,-0.05
0.16,0.85,0.40,3.01,8.72,0.79
0.17,0.84,0.42,3.28,8.82,1.48
0.16,0.85,0.41,2.90,8.44,0.08
0.14,0.85,0.42,2.61,6.27,-2.00
0.14,0.87,0.41,1.65,3.89,-2.92
0.15,0.86,0.41,0.78,2.18,-1.95
0.14,0.86,0.42,-0.15,0.69,-2.90
0.15,0.84,0.42,-0.72,-0.64,-3.83
0.15,0.84,0.42,-0.95,-0.55,-5.33
0.16,0.84,0.41,-1.08,0.34,-7.04
0.16,0.84,0.41,-1.07,0.70,-6.84
0.17,0.85,0.42,-1.08,0.85,-7.07
0.16,0.85,0.40,-0.89,0.09,-9.18
0.13,0.84,0.39,-0.52,-2.26,-11.04
0.11,0.83,0.37,-0.85,-5.57,-13.50
0.11,0.84,0.41,-1.86,-8.87,-14.72
0.14,0.84,0.42,-1.01,-6.35,-13.82
0.17,0.87,0.40,-3.56,-3.24,-11.83
0.19,0.88,0.42,-6.17,-0.20,-10.08
0.19,0.86,0.44,-6.17,1.76,-8.44
0.17,0.86,0.43,-5.28,0.24,-8.99
0.16,0.84,0.43,-4.15,-1.63,-10.34
0.14,0.84,0.42,-2.14,-3.11,-9.97
0.12,0.84,0.43,-1.47,-3.28,-8.78
0.13,0.85,0.43,-1.79,-1.82,-8.02
0.14,0.85,0.44,-2.31,0.43,-8.85
