acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.25,0.93,0.21,1.28,-0.02,1.36,32.29
0.25,0.93,0.2,1.39,0.23,1.27,32.39
0.25,0.94,0.2,0.85,0.26,1.05,32.39
0.25,0.94,0.2,-0.29,-0.09,0.95,32.34
0.25,0.93,0.2,-0.26,-0.95,0.56,32.29
0.25,0.94,0.2,-0.26,-1.68,0.44,32.29
0.25,0.93,0.2,-0.67,-1.51,0.58,32.44
0.25,0.93,0.2,-0.08,-0.63,1.33,32.39
0.26,0.93,0.19,0.82,-0.47,1.59,32.34
0.26,0.93,0.2,1.37,-0.6,1.6,32.44
0.26,0.93,0.21,1.36,-0.29,1.89,32.39
0.25,0.93,0.21,1.51,1.05,2.15,32.34
0.25,0.93,0.19,2.06,1.39,2.44,32.44
0.25,0.94,0.18,1.68,0.7,1.97,32.39
0.25,0.94,0.19,0.15,-0.03,0.63,32.34
0.24,0.93,0.2,-0.73,0.5,0.0,32.34
0.26,0.93,0.2,1.07,0.09,0.18,32.29
0.26,0.93,0.21,1.68,-0.21,0.72,32.34
0.25,0.93,0.19,2.38,-0.79,1.31,32.34
0.24,0.93,0.2,2.34,-1.76,1.25,32.39
0.24,0.94,0.19,1.48,-2.43,1.4,32.39
0.25,0.94,0.19,0.29,-2.98,0.56,32.34
0.24,0.94,0.19,-0.27,-3.31,0.08,32.39
0.24,0.93,0.2,0.09,-3.63,0.23,32.34
0.25,0.93,0.19,1.07,-3.65,0.78,32.34
0.25,0.94,0.19,1.44,-3.27,0.34,32.39
0.25,0.94,0.19,1.66,-3.01,0.12,32.44
0.25,0.93,0.2,1.86,-2.95,0.27,32.34
0.26,0.93,0.2,2.46,-2.56,0.75,32.29
0.25,0.94,0.19,3.01,-2.53,0.98,32.34
0.25,0.94,0.2,4.58,-2.26,2.03,32.34
0.26,0.92,0.18,6.26,-1.79,2.96,32.39
0.27,0.93,0.18,5.89,-0.72,2.4,32.25
0.27,0.93,0.18,5.98,-0.55,1.88,32.34
0.26,0.94,0.17,5.74,-1.6,1.19,32.39
0.26,0.94,0.17,3.8,-1.83,1.02,32.44
0.26,0.93,0.17,1.77,-1.53,0.5,32.34
0.25,0.94,0.18,1.16,-0.85,-0.08,32.39
0.25,0.92,0.18,2.11,-0.55,0.5,32.25
0.26,0.93,0.17,2.85,-1.18,1.3,32.34
0.25,0.93,0.19,3.21,-1.34,1.56,32.29
0.26,0.93,0.18,3.94,-1.21,1.97,32.25
0.27,0.92,0.18,4.53,-0.52,1.65,32.39
0.26,0.92,0.17,4.4,-0.5,1.25,32.29
0.25,0.92,0.18,3.65,-1.04,1.44,32.44
0.26,0.93,0.18,2.85,-1.59,1.24,32.39
0.26,0.93,0.18,2.05,-2.37,2.12,32.39
0.25,0.93,0.17,1.3,-2.41,3.08,32.34
0.27,0.93,0.16,3.31,-1.53,4.52,32.39
0.27,0.93,0.17,4.12,-0.72,3.95,32.44
0.27,0.94,0.16,3.66,0.43,2.93,32.34
0.28,0.93,0.17,3.33,1.57,1.79,32.39
0.27,0.93,0.17,2.67,1.79,0.85,32.44
0.26,0.93,0.16,1.19,1.76,1.24,32.34
0.26,0.94,0.14,-1.27,1.71,1.6,32.48
0.27,0.94,0.15,-4.08,2.02,-0.41,32.34
0.27,0.93,0.17,-5.63,2.75,-0.52,32.44
0.27,0.95,0.17,-8.64,2.69,-1.85,32.39
0.27,0.95,0.17,-10.08,3.02,-3.69,32.34
0.27,0.94,0.18,-9.66,3.76,-5.21,32.34
0.26,0.94,0.17,-10.17,4.64,-6.23,32.44
0.27,0.95,0.19,-13.53,6.26,-9.22,32.44
0.27,0.96,0.17,-17.73,7.57,-12.7,32.29
0.26,0.94,0.17,-20.5,7.94,-14.2,32.39
0.25,0.95,0.19,-23.27,7.15,-15.47,32.34
0.24,0.95,0.19,-26.6,6.96,-15.88,32.29
0.25,0.98,0.19,-32.7,6.5,-20.98,32.25
0.23,0.93,0.2,-33.8,5.45,-20.12,32.25
0.25,0.96,0.2,-36.47,6.2,-21.79,32.39
0.24,0.93,0.22,-38.23,6.2,-24.27,32.34
0.24,0.91,0.24,-36.24,7.86,-24.75,32.44
0.23,0.91,0.22,-32.26,9.59,-24.63,32.29
0.23,0.9,0.2,-22.38,11.76,-20.81,32.25
0.22,0.92,0.15,-11.44,14.99,-17.62,32.34
0.26,0.99,0.17,-8.4,20.34,-22.66,32.29
0.25,0.98,0.23,-8.9,24.63,-26.46,32.34
0.2,0.93,0.28,-3.92,26.6,-20.11,32.34
0.21,0.96,0.31,-1.36,29.69,-18.7,32.39
0.18,0.96,0.33,0.58,30.15,-21.13,32.34
0.09,0.97,0.33,2.02,28.53,-21.5,32.39
0.13,0.99,0.26,2.95,28.53,-20.75,32.39
0.11,1.0,0.26,2.11,25.62,-22.29,32.34
0.12,0.93,0.23,3.13,23.97,-19.62,32.39
0.14,0.96,0.23,-2.06,22.84,-22.2,32.39
0.15,0.97,0.25,-10.87,21.22,-25.86,32.34
0.14,0.9,0.26,-12.93,18.41,-23.79,32.29
0.15,0.91,0.25,-11.33,17.47,-20.47,32.39
0.13,0.9,0.24,-10.79,14.37,-18.96,32.44
