acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.19,0.92,0.24,1.01,-1.73,2.06,31.78
0.2,0.92,0.23,2.72,-1.54,2.58,31.87
0.2,0.93,0.23,3.37,-0.81,2.66,31.78
0.22,0.94,0.23,2.17,-0.44,1.98,31.82
0.21,0.93,0.22,0.52,-0.26,1.28,31.87
0.21,0.93,0.22,-0.63,-0.24,1.44,31.78
0.2,0.93,0.23,-1.02,-0.2,1.25,31.82
0.19,0.93,0.23,-1.08,-0.03,1.54,31.78
0.2,0.94,0.23,-1.27,-0.31,1.34,31.87
0.2,0.94,0.23,-1.76,-0.05,0.55,31.73
0.2,0.93,0.22,-1.95,-0.02,0.81,31.78
0.19,0.94,0.23,-1.98,-0.02,0.81,31.82
0.19,0.94,0.23,-1.94,0.11,0.98,31.82
0.19,0.95,0.23,-1.68,0.82,0.96,31.78
0.2,0.94,0.23,-2.05,1.36,0.79,31.82
0.2,0.94,0.23,-1.91,1.48,0.31,31.78
0.2,0.93,0.22,-0.56,-0.56,0.43,31.78
0.2,0.94,0.23,-2.2,-1.13,-0.11,31.87
0.19,0.94,0.23,-3.47,-0.18,-0.03,31.82
0.19,0.93,0.23,-2.08,0.4,0.61,31.78
0.19,0.93,0.23,-0.53,0.05,1.25,31.82
0.19,0.94,0.22,-0.69,-0.5,1.34,31.78
0.19,0.94,0.22,-1.33,-0.96,0.72,31.78
0.19,0.93,0.24,-1.34,-1.05,0.31,31.82
0.2,0.93,0.22,-0.73,-0.95,0.56,31.73
0.2,0.93,0.23,-0.46,-0.73,1.05,31.87
0.2,0.93,0.24,-0.24,-0.82,1.53,31.73
0.19,0.93,0.23,-0.12,-1.25,1.82,31.87
0.19,0.94,0.23,-0.46,-1.53,1.02,31.78
0.19,0.94,0.23,-0.7,-1.97,1.31,31.92
0.18,0.95,0.23,-0.76,-2.58,1.11,31.73
0.18,0.94,0.23,-0.31,-2.75,1.05,31.78
0.18,0.93,0.24,0.34,-3.22,0.66,31.73
0.18,0.94,0.25,0.46,-3.71,0.78,31.87
0.19,0.94,0.23,1.63,-4.27,2.08,31.87
0.18,0.93,0.25,3.27,-5.04,2.47,31.73
0.17,0.95,0.24,4.09,-5.92,4.05,31.82
0.16,0.96,0.23,5.6,-8.29,6.76,31.68
0.16,0.93,0.23,8.72,-10.38,11.24,31.82
0.15,0.97,0.22,9.51,-13.88,16.03,31.78
0.14,0.96,0.21,8.76,-16.27,22.15,31.78
0.18,0.97,0.18,8.18,-18.76,26.81,31.73
0.21,0.96,0.2,4.87,-17.98,27.11,31.78
0.23,0.96,0.18,-0.29,-17.82,24.82,31.78
0.27,0.95,0.18,-7.18,-16.29,17.83,31.82
0.32,0.88,0.17,-5.37,-12.37,14.6,31.78
0.3,0.88,0.18,-2.08,-8.53,14.98,31.78
0.32,0.88,0.17,-3.45,-3.82,12.5,31.73
0.29,0.89,0.21,-0.84,-2.64,12.73,31.87
0.28,0.9,0.23,1.39,2.21,14.69,31.78
0.31,0.88,0.22,4.32,5.19,14.43,31.73
0.3,0.86,0.24,9.04,7.88,16.66,31.78
0.29,0.87,0.26,11.48,10.47,18.85,31.73
0.3,0.84,0.26,16.64,12.56,21.18,31.82
0.3,0.81,0.24,21.31,13.88,22.0,31.68
0.27,0.83,0.21,23.94,13.42,19.22,31.73
0.28,0.84,0.16,26.69,15.25,12.96,31.73
0.34,0.84,0.14,33.48,21.47,9.04,31.78
0.35,0.86,0.2,36.14,26.67,4.63,31.82
0.38,0.93,0.23,23.59,34.87,-14.98,31.73
0.4,1.05,0.22,4.53,43.98,-37.97,31.78
0.31,1.09,0.2,-8.34,49.15,-54.81,31.92
0.15,1.14,0.16,-18.32,47.24,-60.2,31.82
0.06,1.23,0.09,-36.38,43.39,-71.59,31.78
-0.05,1.19,0.07,-49.28,34.64,-74.52,31.82
-0.07,1.14,0.07,-56.14,24.29,-63.4,31.73
