acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.34,0.75,0.48,-4.09,4.92,-4.24
0.33,0.76,0.48,-3.07,4.50,-3.42
0.32,0.76,0.49,-1.92,2.98,-3.04
0.32,0.75,0.48,-0.38,1.71,-2.87
0.30,0.75,0.49,-0.38,1.27,-2.66
0.30,0.74,0.47,-0.60,1.88,-2.29
0.30,0.75,0.49,-1.15,2.60,-2.03
0.30,0.76,0.47,-1.57,3.08,-1.59
0.32,0.75,0.48,-0.99,2.47,-1.27
0.31,0.76,0.49,-0.09,1.89,-1.25
0.32,0.74,0.48,1.01,1.40,-0.81
0.32,0.75,0.48,1.39,1.66,-0.20
0.31,0.75,0.49,1.13,2.29,0.08
0.31,0.76,0.49,0.82,2.55,0.43
0.31,0.76,0.49,0.53,3.04,0.66
0.31,0.77,0.49,0.50,3.18,0.64
0.31,0.77,0.49,0.84,2.79,0.40
0.31,0.77,0.49,1.15,2.85,-0.41
0.32,0.76,0.49,1.50,2.84,-0.53
0.32,0.77,0.48,1.16,2.93,-0.89
0.31,0.77,0.49,0.82,2.92,-1.57
0.31,0.76,0.49,0.43,3.08,-1.92
0.31,0.77,0.49,0.73,2.85,-1.77
0.31,0.77,0.49,0.47,2.56,-1.77
0.31,0.76,0.48,0.40,2.35,-1.22
0.31,0.76,0.48,-0.29,3.05,-1.30
0.31,0.76,0.49,-0.43,3.86,-1.80
0.32,0.76,0.49,-0.31,4.81,-2.14
0.32,0.76,0.48,0.18,4.95,-2.49
0.31,0.76,0.48,1.01,5.91,-3.08
0.32,0.76,0.50,1.68,6.64,-3.79
0.31,0.76,0.48,2.17,7.11,-3.13
0.30,0.77,0.48,2.60,6.64,-2.47
0.29,0.76,0.49,3.34,5.05,-2.79
0.29,0.76,0.49,3.54,4.50,-2.60
0.28,0.77,0.50,2.76,4.05,-1.80
0.27,0.77,0.49,1.22,4.08,-1.59
0.28,0.77,0.49,0.02,4.20,-1.88
0.28,0.77,0.48,-0.31,3.76,-3.02
0.29,0.77,0.48,-0.32,3.05,-3.97
0.29,0.77,0.49,0.09,2.93,-4.12
0.30,0.77,0.49,1.13,2.46,-4.47
0.30,0.77,0.48,1.74,2.49,-4.73
0.30,0.77,0.49,2.32,2.55,-4.67
0.29,0.77,0.49,2.53,2.15,-5.05
0.29,0.77,0.48,3.22,1.95,-5.31
0.28,0.78,0.48,3.47,1.48,-5.76
0.28,0.78,0.48,3.11,0.63,-5.86
0.27,0.78,0.48,2.35,0.38,-5.82
0.27,0.78,0.49,1.59,0.41,-5.54
0.27,0.78,0.48,0.72,-0.44,-4.67
0.27,0.78,0.49,0.34,-1.69,-4.85
0.27,0.78,0.49,0.44,-2.82,-6.00
0.27,0.77,0.48,0.95,-3.53,-6.17
0.27,0.78,0.47,0.47,-3.13,-4.23
0.28,0.78,0.48,0.03,-2.05,-3.04
0.28,0.78,0.48,-0.76,-1.59,-2.18
0.27,0.78,0.48,-0.98,-1.30,-1.66
0.27,0.78,0.48,-1.44,-1.30,-1.48
0.28,0.79,0.47,-1.82,-2.00,-1.74
0.28,0.78,0.48,-2.14,-1.68,-2.03
0.28,0.78,0.47,-2.78,-1.74,-1.94
0.28,0.79,0.48,-2.72,-2.20,-1.21
0.28,0.78,0.47,-2.12,-1.83,-1.10
0.29,0.78,0.47,-1.94,-2.02,-0.18
0.29,0.79,0.47,-1.88,-1.50,0.03
0.28,0.78,0.48,-1.83,-1.37,0.14
0.27,0.78,0.48,-1.48,-1.02,0.11
0.28,0.77,0.47,-1.66,-0.32,0.93
0.28,0.78,0.47,-1.91,-0.82,2.31
0.29,0.78,0.47,-1.97,-1.15,2.98
0.27,0.78,0.48,-2.26,-1.91,3.69
0.28,0.79,0.48,-2.63,-2.37,3.97
0.29,0.79,0.48,-2.64,-2.44,5.76
0.29,0.78,0.48,-3.02,-1.86,6.60
0.28,0.78,0.48,-2.95,-1.82,7.07
0.29,0.78,0.48,-2.67,-1.94,7.66
0.30,0.78,0.48,-2.76,-1.42,8.24
0.29,0.77,0.47,-2.84,-1.08,7.42
0.30,0.78,0.47,-2.56,-0.05,7.18
0.30,0.77,0.48,-2.44,0.17,5.86
0.30,0.77,0.47,-1.82,1.19,4.92
0.30,0.77,0.47,-1.79,1.01,5.45
0.31,0.78,0.47,-1.37,1.83,5.08
0.29,0.78,0.48,-1.13,1.16,3.92
0.29,0.76,0.48,-0.56,0.87,2.67
0.29,0.77,0.48,-0.02,0.43,2.53
0.29,0.78,0.48,-0.18,0.70,2.63
0.30,0.77,0.48,-0.23,1.39,2.56
0.30,0.78,0.47,-0.92,1.59,2.79
0.29,0.78,0.47,-0.69,1.62,3.15
0.30,0.78,0.48,-0.76,1.74,2.63
0.29,0.77,0.48,-0.84,2.95,1.85
0.29,0.78,0.46,-1.76,3.63,1.31
0.29,0.77,0.47,-2.90,4.18,1.45
0.30,0.77,0.49,-3.02,3.92,0.96
0.30,0.77,0.48,-2.40,4.09,0.50
0.30,0.76,0.46,-1.39,3.57,-0.38
0.30,0.76,0.47,-0.23,3.07,0.56
0.29,0.77,0.48,0.02,2.98,0.34
0.29,0.77,0.47,0.92,3.98,-0.26
0.28,0.77,0.48,0.85,4.26,-1.22
0.28,0.78,0.47,1.01,4.75,-1.07
0.29,0.78,0.48,0.89,4.99,-1.56
0.30,0.77,0.48,1.34,5.91,-3.86
0.28,0.75,0.46,2.84,5.74,-6.05
0.29,0.75,0.47,3.98,4.87,-7.42
0.30,0.77,0.48,4.14,5.86,-9.44
0.30,0.77,0.48,5.44,6.75,-13.39
0.29,0.77,0.47,5.98,8.02,-20.35
0.31,0.76,0.45,7.42,10.32,-27.71
0.30,0.76,0.45,9.19,11.37,-33.50
0.32,0.77,0.47,10.63,15.34,-42.08
0.28,0.75,0.46,12.90,19.92,-48.02
0.26,0.75,0.46,14.49,21.05,-49.91
0.26,0.80,0.46,14.27,25.45,-55.66
0.21,0.80,0.44,13.19,28.96,-53.39
0.14,0.85,0.46,7.34,26.69,-48.05
0.16,0.84,0.48,2.53,25.94,-46.53
0.15,0.84,0.50,2.14,22.38,-41.73
0.15,0.82,0.48,3.13,17.18,-40.49
0.14,0.77,0.49,5.65,10.55,-31.34
0.16,0.80,0.51,6.46,10.50,-28.14
0.17,0.81,0.47,3.10,13.36,-23.31
0.15,0.81,0.47,0.85,13.65,-15.45
0.14,0.83,0.48,0.87,15.02,-11.68
0.13,0.83,0.48,1.07,12.43,-8.03
0.14,0.84,0.48,1.34,9.53,-4.84
0.13,0.81,0.48,2.50,9.33,-5.11
0.15,0.85,0.49,0.55,6.34,-6.34
0.12,0.84,0.48,0.70,5.74,-7.27
0.12,0.83,0.48,0.38,3.94,-5.95
0.12,0.84,0.46,-1.42,2.79,-4.84
0.13,0.83,0.47,-2.73,3.24,-3.82
0.15,0.84,0.46,-4.67,3.37,-2.55
0.16,0.84,0.45,-5.01,2.82,-2.14
0.15,0.82,0.45,-3.34,1.63,-2.18
0.12,0.82,0.46,-2.00,-0.61,-0.31
0.13,0.82,0.48,-1.77,-1.44,1.19
0.12,0.82,0.48,-2.15,-2.08,2.09
0.12,0.82,0.48,-2.75,-1.66,2.92
0.13,0.82,0.48,-3.37,-2.15,2.08
0.15,0.84,0.49,-4.29,-2.85,-0.53
0.13,0.82,0.47,-3.24,-2.76,-2.23
0.14,0.82,0.47,-2.76,-5.04,-1.40
0.13,0.81,0.46,-1.60,-4.44,-1.02
0.15,0.83,0.48,-3.34,-4.50,-0.26
0.14,0.83,0.47,-3.77,-3.50,0.75
0.13,0.81,0.48,-2.84,-5.22,1.79
0.12,0.80,0.47,-0.64,-8.20,2.69
0.11,0.80,0.47,0.35,-10.43,3.69
0.12,0.82,0.48,-0.99,-11.88,5.16
0.09,0.80,0.48,-1.50,-13.95,6.84
0.08,0.79,0.48,0.23,-18.52,11.21
0.05,0.77,0.47,2.89,-24.52,18.38
0.05,0.76,0.45,4.63,-28.64,28.47
0.07,0.76,0.45,3.18,-30.09,40.98
0.12,0.78,0.45,-2.18,-29.07,48.46
0.19,0.85,0.43,-9.37,-24.69,44.18
0.26,0.91,0.45,-16.31,-20.17,28.63
0.26,0.87,0.48,-16.72,-24.43,13.19
0.32,0.84,0.45,-8.98,-16.64,10.08
0.32,0.84,0.46,-6.99,-17.37,3.74
0.29,0.82,0.46,-5.73,-13.80,2.53
0.27,0.82,0.44,-7.10,-10.26,4.11
0.25,0.81,0.46,-8.87,-6.75,5.31
0.23,0.80,0.46,-9.48,-5.02,6.34
0.23,0.81,0.46,-9.04,-4.82,7.28
0.23,0.81,0.48,-7.98,-5.62,8.67
0.24,0.82,0.49,-7.48,-5.74,10.24
