acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.21,0.87,0.39,0.31,-0.9,1.54,33.71
0.21,0.88,0.39,-0.02,-0.98,1.3,33.85
0.22,0.88,0.39,-0.56,-1.01,0.6,33.61
0.22,0.88,0.38,-1.39,-0.53,-0.15,33.66
0.21,0.89,0.38,-2.06,-0.2,-0.69,33.75
0.22,0.88,0.39,-1.97,-0.15,-0.72,33.75
0.2,0.87,0.39,-1.66,-0.14,-0.02,33.71
0.2,0.88,0.39,-1.63,-0.05,0.05,33.75
0.21,0.88,0.39,-1.5,-0.18,0.14,33.75
0.21,0.88,0.39,-1.37,-0.43,0.35,33.8
0.21,0.88,0.39,-1.13,-0.47,0.18,33.71
0.21,0.88,0.39,-0.96,-0.4,0.43,33.66
0.21,0.88,0.39,-1.1,-0.49,0.32,33.75
0.21,0.88,0.39,-1.65,-0.08,0.17,33.61
0.2,0.89,0.38,-1.68,-0.08,0.31,33.75
0.21,0.88,0.39,-1.5,0.02,0.35,33.75
0.21,0.89,0.4,-2.72,1.08,0.11,33.66
0.22,0.87,0.39,-2.41,1.22,0.82,33.66
0.2,0.87,0.39,-1.77,1.27,1.71,33.61
0.21,0.87,0.39,-1.18,1.6,2.55,33.71
0.2,0.88,0.4,-0.58,1.77,3.13,33.66
0.21,0.88,0.38,-1.57,2.24,2.29,33.75
0.21,0.89,0.39,-2.52,1.98,1.73,33.8
0.21,0.88,0.4,-3.21,1.88,0.95,33.75
0.21,0.88,0.39,-3.59,1.85,0.61,33.75
0.21,0.89,0.4,-4.23,2.0,0.14,33.71
0.2,0.88,0.38,-4.34,2.5,2.32,33.66
0.22,0.9,0.39,-9.34,2.63,-2.4,33.85
0.22,0.86,0.43,-10.17,5.36,-1.74,33.66
0.21,0.91,0.43,-14.95,9.63,-6.64,33.8
0.23,0.92,0.43,-22.11,15.65,-12.9,33.75
0.22,0.93,0.42,-30.23,19.25,-21.39,33.66
0.2,0.89,0.42,-35.28,19.94,-25.42,33.71
0.19,0.88,0.41,-37.34,19.39,-26.44,33.8
0.18,0.91,0.42,-40.5,21.83,-32.44,33.75
0.17,0.92,0.44,-43.01,24.44,-33.22,33.66
0.15,0.87,0.44,-42.85,23.62,-27.73,33.71
0.16,0.86,0.43,-41.65,23.89,-27.31,33.75
0.18,0.88,0.43,-41.16,24.03,-30.09,33.75
0.16,0.87,0.46,-40.93,22.7,-27.95,33.61
