acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.21,0.81,0.47,-2.93,1.30,0.23
0.19,0.81,0.49,-2.93,1.07,-0.63
0.19,0.82,0.49,-2.52,-0.44,-2.47
0.19,0.80,0.48,-2.52,-2.79,-2.37
0.19,0.80,0.47,-2.34,-3.47,-1.30
0.20,0.80,0.46,-2.69,-2.37,0.29
0.21,0.80,0.45,-3.02,-1.11,0.41
0.22,0.81,0.46,-2.69,-0.66,0.17
0.22,0.81,0.48,-1.54,-0.84,0.53
0.21,0.80,0.47,-0.60,-1.31,0.43
0.21,0.80,0.47,-0.47,-0.67,0.49
0.20,0.80,0.47,-0.73,0.29,0.18
0.19,0.81,0.47,-1.13,1.25,-0.24
0.20,0.81,0.47,-1.63,1.68,-0.46
0.20,0.80,0.48,-1.31,1.85,-1.04
0.19,0.80,0.48,-0.95,1.33,-1.28
0.20,0.81,0.47,-0.09,0.78,-1.37
0.19,0.80,0.47,0.17,0.46,-1.40
0.19,0.80,0.47,0.03,0.49,-1.79
0.19,0.80,0.47,0.21,0.26,-2.26
0.19,0.80,0.49,-0.02,-0.02,-2.31
0.18,0.80,0.48,-0.06,-0.49,-2.20
0.19,0.80,0.48,-0.29,-1.19,-2.76
0.19,0.80,0.48,-0.64,-1.24,-1.50
0.20,0.81,0.48,-1.04,-1.34,-0.31
0.21,0.81,0.47,-1.31,-0.63,-0.23
0.20,0.81,0.48,-1.18,-0.99,-0.17
0.20,0.81,0.47,-1.07,-1.04,-0.64
0.19,0.81,0.48,-0.72,-1.95,-1.07
0.19,0.81,0.48,-0.72,-2.06,-1.08
0.18,0.81,0.48,-0.98,-2.35,-0.79
0.19,0.81,0.49,-0.98,-2.56,-0.96
0.20,0.81,0.47,-0.89,-3.08,-0.82
0.20,0.81,0.47,-0.85,-3.01,-0.81
0.20,0.81,0.46,-1.02,-2.98,-0.47
0.20,0.81,0.47,-1.45,-2.46,-0.93
