acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.17,0.9,0.35,-1.16,0.14,-0.4,32.34
0.17,0.89,0.36,-1.13,0.34,-0.46,32.29
0.18,0.9,0.36,-1.39,0.11,-0.61,32.44
0.18,0.9,0.35,-1.51,0.11,-0.37,32.39
0.17,0.91,0.36,-1.76,0.12,-0.41,32.29
0.18,0.89,0.35,-1.68,0.12,-0.21,32.34
0.18,0.9,0.35,-1.54,-0.02,-0.09,32.29
0.17,0.9,0.35,-1.39,-0.06,-0.2,32.29
0.17,0.9,0.35,-0.76,-0.03,-0.14,32.25
0.18,0.9,0.36,-0.17,0.06,0.0,32.29
0.17,0.9,0.36,-0.49,-0.58,-0.23,32.39
0.18,0.9,0.35,0.29,-0.53,-0.14,32.25
0.18,0.9,0.35,0.95,-0.67,0.11,32.39
0.18,0.9,0.35,0.29,-1.07,0.05,32.29
0.17,0.9,0.34,-0.21,-0.96,0.44,32.34
0.18,0.9,0.35,-0.47,-0.06,1.01,32.39
0.18,0.89,0.35,-0.05,-0.92,0.34,32.39
0.18,0.89,0.36,0.53,-1.05,0.76,32.39
0.18,0.89,0.34,0.98,-1.34,0.53,32.34
0.18,0.89,0.35,1.42,-1.71,0.49,32.39
0.18,0.9,0.35,1.42,-2.0,0.2,32.34
0.18,0.89,0.36,1.19,-1.59,0.27,32.44
0.18,0.9,0.36,1.56,-0.63,0.96,32.29
0.18,0.9,0.35,1.92,-0.2,1.71,32.34
0.17,0.9,0.32,2.21,0.05,2.78,32.34
0.19,0.92,0.32,-0.35,-0.5,-0.98,32.39
0.18,0.9,0.35,-0.7,-1.1,-0.23,32.25
0.17,0.92,0.33,-0.79,-2.06,-0.47,32.34
0.17,0.92,0.32,0.12,-0.29,0.23,32.39
0.19,0.92,0.31,0.46,0.15,0.64,32.25
0.19,0.92,0.31,1.53,-1.08,1.37,32.25
0.19,0.92,0.31,3.79,-0.24,2.56,32.29
0.2,0.9,0.32,6.08,1.15,4.63,32.34
0.18,0.91,0.33,7.59,2.15,5.65,32.2
0.16,0.91,0.35,8.31,2.92,3.98,32.39
0.15,0.9,0.33,10.7,4.05,2.99,32.44
0.14,0.91,0.33,13.19,3.19,1.07,32.29
0.14,0.9,0.33,15.16,1.5,0.58,32.29
0.18,0.9,0.29,18.61,-0.82,2.72,32.34
0.19,0.89,0.32,19.1,-5.37,4.23,32.29
0.18,0.86,0.41,19.13,-6.17,8.64,32.29
0.2,0.84,0.42,21.89,-0.81,13.3,32.34
0.23,0.82,0.4,22.9,3.95,15.62,32.39
0.25,0.81,0.4,19.53,6.2,16.55,32.39
0.26,0.8,0.41,16.14,10.93,18.37,32.44
0.28,0.78,0.39,17.63,16.87,21.82,32.29
0.28,0.81,0.35,16.64,17.34,20.72,32.39
0.29,0.83,0.31,12.87,16.29,17.56,32.44
0.23,0.98,0.27,1.79,13.42,10.41,32.39
0.21,0.99,0.25,-10.63,9.85,3.19,32.39
0.17,1.03,0.24,-16.44,10.9,0.38,32.44
0.17,0.96,0.27,-12.08,14.11,3.16,32.39
0.15,0.98,0.29,-12.93,17.19,-3.74,32.39
0.15,1.01,0.29,-25.07,11.85,-17.11,32.44
0.2,0.95,0.24,-21.88,12.06,-14.78,32.39
0.14,0.98,0.34,-31.66,12.11,-23.33,32.39
