acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.18,0.88,0.39,-2.6,0.17,0.89,32.06
0.18,0.88,0.4,-2.5,0.0,0.89,32.01
0.18,0.88,0.4,-2.46,-0.06,0.55,32.06
0.18,0.89,0.39,-2.47,-0.03,0.7,32.11
0.18,0.89,0.39,-2.75,-0.09,0.06,32.01
0.18,0.88,0.4,-3.22,-0.18,0.0,32.06
0.18,0.88,0.39,-3.21,-0.53,-0.18,32.11
0.18,0.88,0.39,-3.15,-0.5,-0.18,32.06
0.18,0.88,0.39,-2.73,-0.2,0.06,32.06
0.18,0.87,0.4,-2.52,-0.18,0.43,32.01
0.18,0.88,0.4,-2.08,-0.18,0.66,32.06
0.18,0.88,0.4,-2.09,-0.29,0.47,32.06
0.18,0.88,0.39,-1.73,-0.63,-0.02,32.11
0.18,0.88,0.39,-1.3,-0.34,0.29,31.97
0.18,0.88,0.4,-1.18,-1.15,0.06,32.06
0.18,0.88,0.4,-0.73,-1.11,0.32,32.01
0.18,0.87,0.39,1.24,-1.85,1.07,32.01
0.18,0.87,0.4,1.28,-1.45,1.25,32.15
0.19,0.89,0.4,0.72,-1.42,0.84,32.01
0.18,0.89,0.39,-0.08,-1.44,0.46,31.92
0.17,0.89,0.39,-0.69,-1.45,0.4,31.97
0.18,0.87,0.4,-0.5,-1.16,0.44,32.11
0.18,0.87,0.39,-0.05,-1.13,0.76,32.01
0.18,0.87,0.39,0.17,-1.33,0.61,31.97
0.19,0.88,0.39,0.73,-1.57,0.03,32.01
0.19,0.88,0.39,0.73,-1.69,-0.46,31.97
0.18,0.88,0.39,1.07,-1.86,-0.21,32.01
0.18,0.88,0.39,1.4,-1.42,0.11,32.11
0.18,0.88,0.39,1.42,-0.96,0.73,31.97
0.18,0.89,0.38,0.99,-0.85,0.82,32.06
0.18,0.89,0.38,0.47,-0.84,0.2,32.01
0.18,0.88,0.39,-0.32,-1.27,-0.2,32.06
0.18,0.89,0.39,-0.66,-0.79,-0.64,32.01
0.17,0.89,0.39,-1.19,-0.2,-0.49,32.11
0.18,0.89,0.39,-1.6,-0.05,-0.92,31.97
0.18,0.88,0.39,-1.79,-0.32,-0.53,32.01
0.18,0.88,0.39,-1.15,-0.44,-0.03,32.01
0.18,0.89,0.39,-1.71,0.15,-0.32,32.06
0.18,0.88,0.38,-1.57,0.26,-0.32,32.11
0.18,0.88,0.39,-0.81,-0.06,0.08,32.01
0.18,0.89,0.38,-0.31,-0.37,0.06,31.97
0.17,0.89,0.39,-1.18,-0.41,-0.46,32.01
0.17,0.87,0.39,-0.75,-0.78,0.89,32.01
0.19,0.87,0.38,0.29,0.15,0.72,31.97
0.19,0.88,0.38,1.33,0.84,0.56,32.01
0.19,0.89,0.38,0.67,-0.47,0.09,32.06
0.18,0.9,0.37,-0.44,-0.4,0.12,31.97
0.17,0.9,0.37,-0.7,0.38,0.64,32.11
0.16,0.89,0.37,0.03,0.76,1.6,32.06
0.18,0.89,0.38,-1.79,-0.09,-1.79,31.97
0.17,0.88,0.39,-1.74,-0.95,-0.63,32.11
0.17,0.9,0.38,-0.53,-1.1,-0.92,32.06
0.17,0.92,0.38,-1.44,-2.24,-2.7,32.01
0.17,0.91,0.37,-2.81,-3.92,-3.36,32.01
0.17,0.89,0.39,-4.12,-4.49,-3.39,32.06
0.15,0.88,0.44,-4.03,-1.82,-1.33,32.01
0.16,0.86,0.42,-1.53,1.22,6.26,32.01
0.17,0.88,0.4,-2.34,2.21,6.7,32.06
