acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.05,0.82,0.49,-2.35,-0.53,-1.54
0.04,0.82,0.49,-2.40,0.14,-1.74
0.04,0.82,0.48,-1.85,1.24,-1.62
0.04,0.81,0.49,-0.47,2.23,-1.57
0.03,0.81,0.49,0.14,1.33,-1.36
0.05,0.81,0.49,0.44,1.15,-1.60
0.03,0.81,0.49,0.24,0.78,-1.83
0.03,0.81,0.50,-0.47,1.05,-1.97
0.03,0.81,0.49,-0.34,1.50,-2.21
0.03,0.81,0.49,-0.15,1.39,-1.92
0.03,0.81,0.49,0.38,1.27,-1.88
0.04,0.83,0.49,0.26,0.69,-1.82
0.04,0.82,0.48,-0.27,0.17,-1.95
0.04,0.82,0.49,-0.82,0.72,-3.07
0.03,0.82,0.49,-0.52,0.09,-4.08
0.04,0.83,0.49,-0.08,-0.34,-3.71
0.03,0.83,0.49,0.05,-0.56,-3.77
0.03,0.83,0.49,-0.46,-0.75,-3.28
0.03,0.83,0.49,-0.69,-0.17,-2.56
0.03,0.82,0.48,-1.77,0.24,-2.52
0.03,0.82,0.48,-2.12,1.13,-3.13
0.03,0.83,0.48,-2.34,1.10,-3.24
0.02,0.82,0.49,-2.00,-0.12,-3.68
0.01,0.81,0.47,-1.37,-0.92,-3.54
0.01,0.81,0.47,-1.69,-2.08,-2.98
0.01,0.82,0.48,-2.75,-0.92,-3.62
0.02,0.81,0.48,-3.97,0.41,-3.40
0.02,0.82,0.48,-4.44,1.30,-3.22
0.03,0.82,0.48,-4.05,1.47,-2.90
0.04,0.82,0.48,-3.28,0.89,-2.31
0.04,0.81,0.48,-1.97,0.95,-1.66
0.04,0.82,0.49,-1.22,0.47,-1.22
0.03,0.82,0.49,-0.95,0.99,-0.23
0.02,0.81,0.49,-0.92,1.71,0.11
0.02,0.82,0.49,-0.89,1.63,0.23
0.02,0.82,0.50,-1.02,1.98,0.47
0.02,0.82,0.50,-0.92,1.89,1.01
0.03,0.81,0.49,-1.07,1.85,1.40
0.02,0.82,0.49,-1.07,1.82,1.66
0.03,0.82,0.49,-1.56,1.91,1.39
0.03,0.82,0.49,-1.36,1.71,0.69
0.02,0.82,0.48,-0.92,1.19,0.52
0.02,0.82,0.49,-0.49,0.52,0.27
0.02,0.81,0.48,-0.35,0.21,0.90
0.03,0.82,0.50,-0.20,0.46,1.04
0.02,0.81,0.49,-0.24,0.35,0.69
0.02,0.81,0.48,-0.32,0.43,0.40
0.03,0.82,0.49,-0.20,0.92,0.50
0.02,0.83,0.48,-0.66,0.72,0.46
0.02,0.82,0.49,-0.37,1.04,1.10
0.02,0.83,0.48,-0.81,1.24,2.82
0.02,0.83,0.49,-0.67,1.97,2.50
0.02,0.82,0.48,-0.85,2.02,1.47
0.03,0.82,0.49,-1.01,1.71,2.32
0.03,0.82,0.47,-0.70,1.89,2.61
0.02,0.82,0.48,-0.84,2.56,3.04
0.02,0.81,0.49,-0.18,2.69,2.18
0.01,0.80,0.49,0.38,1.85,-0.75
0.02,0.82,0.48,0.95,1.10,-1.01
