acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.18,0.89,0.39,-2.03,0.12,0.61,31.92
0.18,0.88,0.39,-2.03,-0.2,0.69,32.01
0.18,0.89,0.38,-2.06,-0.05,0.63,31.92
0.18,0.89,0.38,-2.27,-0.02,0.53,31.97
0.18,0.89,0.38,-2.55,0.12,0.31,31.92
0.18,0.89,0.38,-2.41,0.11,0.15,31.92
0.18,0.89,0.39,-2.53,0.32,0.41,31.97
0.17,0.88,0.38,-2.44,0.03,0.34,32.01
0.18,0.88,0.38,-2.41,0.02,0.47,31.87
0.18,0.88,0.37,-2.12,0.05,0.32,31.97
0.18,0.88,0.39,-1.76,-0.27,0.44,31.92
0.18,0.89,0.38,-1.92,-0.26,0.35,31.97
0.19,0.88,0.38,-1.24,-0.47,0.53,32.06
0.18,0.88,0.39,-1.11,-0.49,0.49,32.01
0.18,0.89,0.39,-1.08,-0.44,0.37,31.97
0.18,0.88,0.38,-1.02,-0.72,0.4,31.92
0.18,0.89,0.38,-0.82,-0.21,0.44,31.92
0.18,0.89,0.38,-1.45,-0.89,-0.17,32.01
0.17,0.89,0.39,-1.24,-1.53,-0.43,32.06
0.18,0.89,0.39,-0.67,-1.08,-0.23,31.92
0.18,0.88,0.39,-0.95,-1.44,-0.7,31.92
0.18,0.89,0.38,-1.24,-1.28,-0.56,31.97
0.19,0.89,0.38,-1.25,-0.79,-0.32,31.92
0.18,0.9,0.38,-1.51,-0.63,-0.58,31.87
0.19,0.89,0.38,-1.95,-0.96,-0.6,32.01
0.18,0.89,0.38,-2.2,-0.98,-0.46,32.11
0.17,0.89,0.38,-2.32,-0.46,-0.47,31.97
0.19,0.89,0.38,-2.38,-0.21,-0.46,31.87
0.18,0.89,0.37,-2.98,0.08,-0.92,32.01
0.18,0.89,0.38,-3.48,0.05,-0.87,31.87
0.17,0.89,0.39,-4.03,-0.29,-1.21,31.92
0.18,0.88,0.39,-4.14,-0.14,-1.05,32.01
