filename,label
backward_37,backward
backward_53,backward
backward_11,backward
backward_32,backward
backward_10,backward
backward_28,backward
backward_44,backward
backward_03,backward
backward_20,backward
backward_08,backward
backward_34,backward
backward_02,backward
backward_47,backward
backward_29,backward
backward_05,backward
backward_16,backward
backward_49,backward
backward_48,backward
forward_60,forward
forward_10,forward
forward_57,forward
forward_12,forward
forward_04,forward
forward_25,forward
forward_23,forward
forward_11,forward
forward_56,forward
forward_14,forward
forward_39,forward
forward_02,forward
forward_01,forward
forward_49,forward
forward_44,forward
forward_15,forward
forward_59,forward
forward_52,forward
left_25,left
left_04,left
left_20,left
left_10,left
left_29,left
left_03,left
left_55,left
left_34,left
left_35,left
left_49,left
left_12,left
left_38,left
left_54,left
left_01,left
left_52,left
left_16,left
left_47,left
left_24,left
right_27,right
right_29,right
right_43,right
right_44,right
right_25,right
right_54,right
right_28,right
right_31,right
right_53,right
right_36,right
right_26,right
right_41,right
right_09,right
right_55,right
right_32,right
right_18,right
right_13,right
right_10,right
